alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
the-secret-lounge-ph-taguig,"Lashes,Pedicure,Manicure","Address(address_line0=, address_line1=The Secret Lounge Ph 4th flr Fort Pointe Building, The Fort strip, Bonifacio Global City, , address_line2=, city=Taguig, state=, zip_code=1207)",69478,The Secret Lounge PH,,100+,4.773519
upstate-studios-newtown,"Low-credit livestreams,Pilates,Livestream pilates","Address(address_line0=, address_line1=14 Lambert Avenue, address_line2=, city=Newtown, state=, zip_code=3220)",69469,Upstate Studios,,100+,4.8609867
bodymindlife-bondi-beach,Yoga,"Address(address_line0=null, address_line1=40 Hall St, address_line2=null, city=Bondi Beach, state=NSW, zip_code=2026)",34612,BodyMindLife,Bondi Beach,5000+,4.76626
cyclehouse-indoor-cycling-pasig,Cycling,"Address(address_line0=, address_line1=8th Floor Padilla Building F. Ortigas Jr Rd, address_line2=, city=Pasig, state=, zip_code=1605)",50344,Cyclehouse Indoor Cycling,,5000+,4.830567
move-yoga-livestream-melbourne,"Yoga,Livestream yoga","Address(address_line0=Level 1, address_line1=335 Flinders Ln, address_line2=, city=Melbourne, state=, zip_code=3000)",31006,MOVE Yoga,CBD,5000+,4.6905394
orum-jakarta,Meditation,"Address(address_line0=, address_line1=Jl. KH. Wahid Hasyim No.55, address_line2=, city=Jakarta, state=, zip_code=10350)",53522,ORUM,,500+,4.8822055
alila-scbd-jakarta,"Gym Time,Strength Training","Address(address_line0=null, address_line1=SCBD Lot 11, Jl. Jend. Sudirman, Kec. Kby. Baru, Kota Jakarta Selatan, address_line2=null, city=Jakarta, state=null, zip_code=12910)",69665,Alila SCBD Jakarta,,100+,4.9537816
rebel-yoga-manila-makati,"Pilates,Yoga","Address(address_line0=Jose Cojuangco & Sons Bldg, address_line1=119 Dela Rosa Street corner Palanca and Castro streets, address_line2=6F, city=Makati, state=, zip_code=1229)",50865,Rebel Yoga Manila,,1000+,4.78813
bloom-by-itjeher-jakarta,"Dance,Low-credit livestreams,Yoga,Strength Training,Livestream dance","Address(address_line0=Cipete Raya No.64, address_line1=Cipete Selatan, Cilandak, Jakarta Selatan. Itjeher Salon , address_line2=, city=Jakarta , state=, zip_code=12410)",56543,Bloom by itjeher,,1000+,4.8249335
20fit-project-menara-btpn-jakarta,"Dance,Strength Training,Cycling","Address(address_line0=, address_line1=Menara BTPN, 3rd Floor, Jl. Dr. Ide Anak Agung Gde Agung, address_line2=, city=Jakarta, state=, zip_code=12950)",50912,20FIT Project,,1000+,4.823389
the-stretch-clinic-singapore,Sports recovery,"Address(address_line0=, address_line1=138 Robinson Road, Oxley Tower, #13-04, address_line2=, city=Singapore, state=, zip_code=068906)",69276,The Stretch Clinic,,100+,4.742574
chapel-street-physique-south-yarra,"Barre,Pilates,Strength Training","Address(address_line0=Level 1, address_line1=349 Chapel St, address_line2=, city=South Yarra, state=, zip_code=3141)",30811,Chapel Street Physique,South Yarra,5000+,4.8015113
bliss-yoga-makati,Yoga,"Address(address_line0=Plaza One Hundred, address_line1=V.A. Rufino Street cor Dela Rosa Street, address_line2=Unit 203 , city=Makati , state=, zip_code=1223)",50633,Bliss Yoga,,1000+,4.7786484
bodymindlife-surry-hills,Yoga,"Address(address_line0=null, address_line1=84 Mary St, address_line2=Level 1, city=Surry Hills, state=NSW, zip_code=2010)",34615,BodyMindLife,Surry Hills,5000+,4.7084193
balance-moves-pilates-and-barre-studio-bondi-beach,"Barre,Pilates","Address(address_line0=, address_line1=72a Hall St, address_line2=, city=Bondi Beach, state=, zip_code=2026)",31178,Balance Moves Pilates and Barre Studio,Bondi Beach,5000+,4.776253
fluid-form-pilates-clovelly-randwick,"Pilates,Yoga","Address(address_line0=, address_line1=159 Clovelly Road , address_line2=, city=Randwick, state=, zip_code=2031)",50245,Fluid Form Pilates ,,1000+,4.818182
bodhi-and-ride-south-yarra,Cycling,"Address(address_line0=, address_line1=54 Wilson St, address_line2=South Yarra VIC, city=South Yarra, state=, zip_code=3207)",49273,Bodhi & Ride,South Yarra,1000+,4.82152
good-vibes-yoga-northcote,Yoga,"Address(address_line0=, address_line1=116 High St, address_line2=, city=Northcote, state=, zip_code=3070)",35102,Good Vibes Yoga - Northcote,Northcote,5000+,4.7961473
yoke-yoga-south-melbourne,Yoga,"Address(address_line0=null, address_line1=4 Union St, address_line2=null, city=South Melbourne, state=VIC, zip_code=3205)",34158,Yoke Yoga,South Melbourne,5000+,4.784033
props-beauty-mandaluyong,,"Address(address_line0=5th Floor RFM Corporate Center,, address_line1=Pioneer St., Cor. Sheridan St., address_line2=, city=Mandaluyong, state=, zip_code=1550)",70331,PROPS Beauty,,78,4.8974357
foxfit-fitness-for-females-cremorne,Strength Training,"Address(address_line0=, address_line1=93 Cubitt Street, address_line2=, city=Cremorne, state=, zip_code=3121)",50662,FoxFit Fitness For Females,,1000+,4.8591547
yome-kuala-lumpur,Yoga,"Address(address_line0=, address_line1=H-1-15 Plaza Arkadia. No. 3, Jalan Intisari Perdana, Desa ParkCity,, address_line2=, city=Kuala Lumpur, state=, zip_code=52200)",47799,Yo'me,,1000+,4.631579
ada-studio-jakarta,"Dance,Barre,Strength Training,Yoga","Address(address_line0=, address_line1=Ruko Bona Indah A2/A1 2nd Floor, Lebak Bulus, Cilandak, Jakarta, ID, address_line2=, city=Jakarta, state=, zip_code=12440)",58400,ADA Studio,,100+,4.880893
jetts-brisbane-cbd-brisbane-city,Strength Training,"Address(address_line0=, address_line1=280 Adelaide Street, address_line2=, city=Brisbane City, state=, zip_code=4000)",78961,Jetts ,,0,0.0
jetts-fortitude-valley,Strength Training,"Address(address_line0=, address_line1=356 Saint Pauls Terrace, address_line2=, city=Fortitude Valley, state=, zip_code=4006)",78960,Jetts ,,0,0.0
jetts-woolloongabba-qld,Strength Training,"Address(address_line0=, address_line1=Woolloongabba Central, 18/803 Stanley St Woolloongabba , address_line2=, city=QLD , state=, zip_code=4102)",78964,Jetts,,0,0.0
studio-pilates-international-mt-gravatt-mount-gravatt-east,"Pilates,Strength Training,Postnatal,Prenatal","Address(address_line0=, address_line1=1420 Logan Road, address_line2=, city=Mount Gravatt East, state=, zip_code=4122)",82556,Studio Pilates International Mt Gravatt,,0,0.0
jetts-camp-hill,Strength Training,"Address(address_line0=, address_line1=Samuel Street, address_line2=, city=Camp Hill, state=, zip_code=4152)",78963,Jetts ,,0,0.0
karma-muay-thai-wynnum,Martial Arts,"Address(address_line0=, address_line1=24 Thorne St, address_line2=, city=Wynnum, state=, zip_code=4178)",34982,Karma Muay Thai,Wynnum,4,4.75
fit-force-daerah-khusus-ibukota,"Gym Time,Strength Training","Address(address_line0=, address_line1=Jl. Kemang Timur No.60a, RT.11/RW.3, Bangka, Mampang Prpt., Kota Jakarta Selatan, address_line2=, city=Daerah Khusus Ibukota, state=, zip_code=12730)",50862,Fit Force,,500+,4.8301888
anicca-yoga-jakarta-selatan,Yoga,"Address(address_line0=The Izzara Apartment, address_line1=Jl. TB Simatupang No.16 - 17, RT.1/RW.1, Cilandak Timur, address_line2=Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, city=Jakarta Selatan, state=, zip_code=12430)",50790,Anicca Yoga ,,500+,4.913253
kaloria-studio-jakarta,"Dance,Strength Training","Address(address_line0=, address_line1=Jalan Ampera Raya No.18, RT.3/RW.7, address_line2=Kec. Ps. Minggu, South Jakarta, Jakarta, city=Jakarta, state=, zip_code=12550)",50938,Kaloria Studio,,500+,4.916107
empire-fit-club-bali-kecamatan-kuta-utara,"Yoga,Strength Training","Address(address_line0=, address_line1=No. 88A Jalan Raya Kedampang, address_line2=, city=Kecamatan Kuta Utara, state=, zip_code=80361)",67809,Empire Fit Club ,,100+,4.850394
