flex-chelsea-london,"Low-credit livestreams,Livestream HIIT,Strength Training,Yoga,Cycling","Address(address_line0=, address_line1=293 Fulham Road, address_line2=, city=London, state=, zip_code=SW10 9PZ)",56842,FLEX ,Chelsea,5000+,4.755919
levelsix-london,"Yoga,Livestream yoga","Address(address_line0=, address_line1=95A Rye Ln, address_line2=Floor 6, Peckham Levels, city=London, state=LND, zip_code=SE15 4ST)",38648,LEVELSIX,Peckham,5000+,4.766004
equal-yoga-rozengracht-amsterdam,"Free livestreams,Yoga","Address(address_line0=, address_line1=191 Rozengracht, address_line2=, city=Amsterdam, state=, zip_code=1016 LZ)",55724,EQUAL Yoga,,5000+,4.6387243
inspire-body-helsinki,Massage,"Address(address_line0=null, address_line1=25 Eerikinkatu, address_line2=null, city=Helsinki, state=null, zip_code=00180)",69982,Inspire-Body,,36,4.9444447
open-ride-zrich,Cycling,"Address(address_line0=, address_line1=Europaallee 13, address_line2=, city=Zürich, state=, zip_code=8004)",57631,OPEN RIDE,,1000+,4.892494
reform-physio-and-pilates-wellness-london,Massage,"Address(address_line0=, address_line1=3 Hildreth Street Mews, address_line2=, city=London, state=, zip_code=SW12 9RZ)",51802,Reform Physio and Pilates,Balham,100+,4.8892856
the-yoga-flat-nrrebro-copenhagen-n,Yoga,"Address(address_line0=, address_line1=Nørrebrogade 14B, address_line2=Enter from Ravnsborggade 8, city=Copenhagen N, state=, zip_code=2200)",55896,The Yoga Flat,,1000+,4.672888
barquillo-hot-yoga-madrid,"Pilates,Yoga","Address(address_line0=, address_line1=12 Calle del Barquillo, address_line2=, city=Madrid, state=, zip_code=28004)",69927,Barquillo Hot Yoga,,500+,4.809886
you-deserve-beauty-and-spa-juice-london,"Facial,Pedicure,Massage,Manicure","Address(address_line0=null, address_line1=237 Lewisham Way, address_line2=null, city=London, state=null, zip_code=SE4 1UY)",63277,You Deserve Beauty and Spa Juice,,100+,4.860465
be-legend-barcelona,"Boxing,Strength Training","Address(address_line0=, address_line1=Carrer de Bori i Fontestà 21, address_line2=, city=Barcelona, state=, zip_code=08021)",61771,Be Legend,,500+,4.9274926
deep-flow-therapy-hoxton-square-london,Massage,"Address(address_line0=, address_line1=56 Hoxton Square, address_line2=Level 2, city=London, state=, zip_code=N1 6PB)",51579,Deep Flow Therapy,Shoreditch,100+,4.9215684
rocycle-de-pijp-amsterdam,Cycling,"Address(address_line0=, address_line1=Ceintuurbaan 77, address_line2=, city=Amsterdam, state=, zip_code=1072 EW)",61015,Rocycle,,5000+,4.6092477
the-place-stockholm,Pilates,"Address(address_line0=null, address_line1=29 Kommendörsgatan, address_line2=null, city=Stockholm, state=null, zip_code=114 48)",62530,The Place Stockholm,,1000+,4.8556223
the-refinery-london,Yoga,"Address(address_line0=null, address_line1=14 Collent St, address_line2=null, city=London, state=LND, zip_code=E9 6SG)",28314,The Refinery,London Fields,5000+,4.6252966
digme-fitness-ealing-london,Cycling,"Address(address_line0=, address_line1=17 The Mall , address_line2=Eailing, city=London, state=, zip_code=W5 2PJ)",59867,Digme Fitness ,Ealing,1000+,4.774369
plts-pop-up-amsterdam,"Barre,Pilates","Address(address_line0=null, address_line1=Rozenstraat 59, address_line2=null, city=Amsterdam, state=null, zip_code=1016 NN)",51911,PLTS,,5000+,4.69444
face-place-rosewood-london,,"Address(address_line0=null, address_line1=252 High Holborn, Holborn, address_line2=null, city=London, state=null, zip_code=WC1V 7EN)",70333,Face Place,,97,4.85567
one-yoga-london,"Low-credit livestreams,Yoga,Livestream yoga","Address(address_line0=, address_line1=15 Myddelton Rd, address_line2=, city=London, state=LND, zip_code=N8 7PY)",36665,One Yoga London,Crouch End / Muswell Hill,5000+,4.8503823
spr-athlete-factory-city-stockholm,"Strength Training,Martial Arts","Address(address_line0=null, address_line1=Eriksbergsgatan 8B, address_line2=null, city=Stockholm, state=null, zip_code=114 30)",61949,SPR Athlete Factory,,1000+,4.7119207
digme-fitness-blackfriars-london,Cycling,"Address(address_line0=Blackfriars Station, address_line1=Queen Victoria St, address_line2=Platform 2, city=London, state=, zip_code=EC4V 4DY)",36923,Digme Fitness,Blackfriars,5000+,4.6550255
